RUN	linebot.LineBotSimulation	linebotsimulation	1593581502975	 	3.3.1
USER	All Check	1	START	1593581504563	1593581504563
REQUEST	1		healthy	1593581504595	1593581504615	OK	 
REQUEST	1		who are you	1593581504738	1593581504772	OK	 
REQUEST	1		parrot	1593581504850	1593581504854	OK	 
REQUEST	1		send location	1593581504859	1593581504863	OK	 
REQUEST	1		send postback	1593581504871	1593581504874	OK	 
USER	All Check	1	END	1593581504563	1593581504883
USER	All Check	2	START	1593581506386	1593581506386
REQUEST	2		healthy	1593581506387	1593581506402	OK	 
REQUEST	2		who are you	1593581506404	1593581506417	OK	 
REQUEST	2		parrot	1593581506420	1593581506429	OK	 
REQUEST	2		send location	1593581506432	1593581506437	OK	 
REQUEST	2		send postback	1593581506440	1593581506444	OK	 
USER	All Check	2	END	1593581506386	1593581506446
USER	All Check	3	START	1593581507517	1593581507517
REQUEST	3		healthy	1593581507518	1593581507534	OK	 
REQUEST	3		who are you	1593581507538	1593581507551	OK	 
REQUEST	3		parrot	1593581507553	1593581507556	OK	 
REQUEST	3		send location	1593581507558	1593581507562	OK	 
REQUEST	3		send postback	1593581507565	1593581507572	OK	 
USER	All Check	3	END	1593581507517	1593581507574
USER	All Check	4	START	1593581508325	1593581508325
REQUEST	4		healthy	1593581508327	1593581508341	OK	 
REQUEST	4		who are you	1593581508343	1593581508355	OK	 
REQUEST	4		parrot	1593581508357	1593581508362	OK	 
REQUEST	4		send location	1593581508364	1593581508368	OK	 
REQUEST	4		send postback	1593581508371	1593581508373	OK	 
USER	All Check	4	END	1593581508325	1593581508375
USER	All Check	5	START	1593581508975	1593581508975
REQUEST	5		healthy	1593581508977	1593581508991	OK	 
REQUEST	5		who are you	1593581508994	1593581509012	OK	 
REQUEST	5		parrot	1593581509015	1593581509020	OK	 
REQUEST	5		send location	1593581509025	1593581509031	OK	 
REQUEST	5		send postback	1593581509035	1593581509042	OK	 
USER	All Check	5	END	1593581508975	1593581509045
USER	All Check	6	START	1593581509516	1593581509516
REQUEST	6		healthy	1593581509516	1593581509530	OK	 
REQUEST	6		who are you	1593581509532	1593581509559	OK	 
REQUEST	6		parrot	1593581509562	1593581509566	OK	 
REQUEST	6		send location	1593581509569	1593581509572	OK	 
REQUEST	6		send postback	1593581509576	1593581509580	OK	 
USER	All Check	6	END	1593581509516	1593581509581
USER	All Check	7	START	1593581509985	1593581509985
REQUEST	7		healthy	1593581509986	1593581509992	OK	 
REQUEST	7		who are you	1593581509995	1593581510015	OK	 
REQUEST	7		parrot	1593581510018	1593581510022	OK	 
REQUEST	7		send location	1593581510026	1593581510032	OK	 
REQUEST	7		send postback	1593581510036	1593581510039	OK	 
USER	All Check	7	END	1593581509985	1593581510041
USER	All Check	8	START	1593581510385	1593581510385
REQUEST	8		healthy	1593581510387	1593581510390	OK	 
REQUEST	8		who are you	1593581510392	1593581510414	OK	 
REQUEST	8		parrot	1593581510417	1593581510420	OK	 
REQUEST	8		send location	1593581510423	1593581510425	OK	 
REQUEST	8		send postback	1593581510429	1593581510431	OK	 
USER	All Check	8	END	1593581510385	1593581510433
USER	All Check	9	START	1593581510756	1593581510756
REQUEST	9		healthy	1593581510757	1593581510761	OK	 
REQUEST	9		who are you	1593581510763	1593581510766	OK	 
REQUEST	9		parrot	1593581510768	1593581510772	OK	 
REQUEST	9		send location	1593581510774	1593581510779	OK	 
REQUEST	9		send postback	1593581510782	1593581510785	OK	 
USER	All Check	9	END	1593581510756	1593581510787
USER	All Check	10	START	1593581511085	1593581511085
REQUEST	10		healthy	1593581511088	1593581511092	OK	 
REQUEST	10		who are you	1593581511095	1593581511099	OK	 
REQUEST	10		parrot	1593581511102	1593581511106	OK	 
REQUEST	10		send location	1593581511108	1593581511112	OK	 
