RUN	linebot.LineBotSimulation	linebotsimulation	1593579078797	 	3.3.1
USER	All Check	1	START	1593579080398	1593579080398
REQUEST	1		healthy	1593579080440	1593579080463	OK	 
REQUEST	1		who are you	1593579080602	1593579080608	OK	 
REQUEST	1		parrot	1593579080709	1593579080711	OK	 
REQUEST	1		send location	1593579080719	1593579080721	OK	 
REQUEST	1		send postback	1593579080733	1593579080735	OK	 
USER	All Check	1	END	1593579080398	1593579080747
USER	All Check	2	START	1593579082229	1593579082229
REQUEST	2		healthy	1593579082231	1593579082245	OK	 
REQUEST	2		who are you	1593579082247	1593579082249	OK	 
REQUEST	2		parrot	1593579082251	1593579082253	OK	 
REQUEST	2		send location	1593579082257	1593579082259	OK	 
REQUEST	2		send postback	1593579082261	1593579082263	OK	 
USER	All Check	2	END	1593579082229	1593579082265
USER	All Check	3	START	1593579083346	1593579083346
REQUEST	3		healthy	1593579083348	1593579083364	OK	 
REQUEST	3		who are you	1593579083367	1593579083371	OK	 
REQUEST	3		parrot	1593579083375	1593579083377	OK	 
REQUEST	3		send location	1593579083381	1593579083383	OK	 
REQUEST	3		send postback	1593579083386	1593579083388	OK	 
USER	All Check	3	END	1593579083346	1593579083391
USER	All Check	4	START	1593579084157	1593579084157
REQUEST	4		healthy	1593579084158	1593579084174	OK	 
REQUEST	4		who are you	1593579084176	1593579084177	OK	 
REQUEST	4		parrot	1593579084180	1593579084182	OK	 
REQUEST	4		send location	1593579084185	1593579084187	OK	 
REQUEST	4		send postback	1593579084192	1593579084194	OK	 
USER	All Check	4	END	1593579084157	1593579084196
USER	All Check	5	START	1593579084809	1593579084809
REQUEST	5		healthy	1593579084810	1593579084824	OK	 
REQUEST	5		who are you	1593579084826	1593579084827	OK	 
REQUEST	5		parrot	1593579084829	1593579084830	OK	 
REQUEST	5		send location	1593579084833	1593579084835	OK	 
REQUEST	5		send postback	1593579084838	1593579084840	OK	 
USER	All Check	5	END	1593579084809	1593579084841
USER	All Check	6	START	1593579085348	1593579085348
REQUEST	6		healthy	1593579085349	1593579085362	OK	 
REQUEST	6		who are you	1593579085364	1593579085365	OK	 
REQUEST	6		parrot	1593579085367	1593579085368	OK	 
