RUN	linebot.LineBotSimulation	linebotsimulation	1593587719690	 	3.3.1
USER	All Check	1	START	1593587721230	1593587721230
REQUEST	1		healthy	1593587721263	1593587721282	OK	 
REQUEST	1		who are you	1593587721403	1593587721412	OK	 
REQUEST	1		parrot	1593587721495	1593587721498	OK	 
REQUEST	1		send location	1593587721504	1593587721507	OK	 
REQUEST	1		send postback	1593587721517	1593587721519	OK	 
USER	All Check	1	END	1593587721230	1593587721528
USER	All Check	2	START	1593587723061	1593587723061
REQUEST	2		healthy	1593587723062	1593587723079	OK	 
REQUEST	2		who are you	1593587723082	1593587723085	OK	 
REQUEST	2		parrot	1593587723088	1593587723090	OK	 
REQUEST	2		send location	1593587723094	1593587723097	OK	 
REQUEST	2		send postback	1593587723100	1593587723102	OK	 
USER	All Check	2	END	1593587723061	1593587723104
USER	All Check	3	START	1593587724182	1593587724182
REQUEST	3		healthy	1593587724184	1593587724198	OK	 
REQUEST	3		who are you	1593587724200	1593587724202	OK	 
REQUEST	3		parrot	1593587724205	1593587724208	OK	 
REQUEST	3		send location	1593587724212	1593587724214	OK	 
REQUEST	3		send postback	1593587724218	1593587724220	OK	 
USER	All Check	3	END	1593587724182	1593587724222
USER	All Check	4	START	1593587725002	1593587725002
REQUEST	4		healthy	1593587725004	1593587725028	OK	 
REQUEST	4		who are you	1593587725031	1593587725033	OK	 
REQUEST	4		parrot	1593587725036	1593587725038	OK	 
REQUEST	4		send location	1593587725041	1593587725043	OK	 
REQUEST	4		send postback	1593587725047	1593587725049	OK	 
USER	All Check	4	END	1593587725002	1593587725051
USER	All Check	5	START	1593587725651	1593587725651
REQUEST	5		healthy	1593587725652	1593587725666	OK	 
REQUEST	5		who are you	1593587725669	1593587725672	OK	 
REQUEST	5		parrot	1593587725674	1593587725676	OK	 
REQUEST	5		send location	1593587725679	1593587725681	OK	 
REQUEST	5		send postback	1593587725684	1593587725685	OK	 
USER	All Check	5	END	1593587725651	1593587725687
USER	All Check	6	START	1593587726191	1593587726191
REQUEST	6		healthy	1593587726192	1593587726206	OK	 
REQUEST	6		who are you	1593587726208	1593587726210	OK	 
REQUEST	6		parrot	1593587726213	1593587726216	OK	 
REQUEST	6		send location	1593587726219	1593587726221	OK	 
REQUEST	6		send postback	1593587726224	1593587726228	OK	 
USER	All Check	6	END	1593587726191	1593587726230
