RUN	linebot.LineBotSimulation	linebotsimulation	1593592739904	 	3.3.1
REQUEST	17		send location	1593592748698	1593592748701	OK	 
REQUEST	17		send postback	1593592748704	1593592748707	OK	 
USER	All Check	17	END	1593592748671	1593592748708
USER	All Check	18	START	1593592748832	1593592748832
REQUEST	18		healthy	1593592748833	1593592748836	OK	 
REQUEST	18		who are you	1593592748838	1593592748840	OK	 
REQUEST	18		parrot	1593592748842	1593592748844	OK	 
REQUEST	18		send location	1593592748845	1593592748848	OK	 
REQUEST	18		send postback	1593592748850	1593592748852	OK	 
USER	All Check	18	END	1593592748832	1593592748854
USER	All Check	19	START	1593592748983	1593592748983
REQUEST	19		healthy	1593592748984	1593592748987	OK	 
REQUEST	19		who are you	1593592748989	1593592748990	OK	 
REQUEST	19		parrot	1593592748992	1593592748994	OK	 
REQUEST	19		send location	1593592748996	1593592748998	OK	 
REQUEST	19		send postback	1593592749000	1593592749002	OK	 
USER	All Check	19	END	1593592748983	1593592749005
USER	All Check	20	START	1593592749133	1593592749133
REQUEST	20		healthy	1593592749134	1593592749138	OK	 
REQUEST	20		who are you	1593592749140	1593592749142	OK	 
REQUEST	20		parrot	1593592749145	1593592749148	OK	 
REQUEST	20		send location	1593592749153	1593592749155	OK	 
REQUEST	20		send postback	1593592749157	1593592749158	OK	 
USER	All Check	20	END	1593592749133	1593592749160
USER	All Check	21	START	1593592749272	1593592749272
REQUEST	21		healthy	1593592749273	1593592749275	OK	 
REQUEST	21		who are you	1593592749277	1593592749279	OK	 
REQUEST	21		parrot	1593592749280	1593592749282	OK	 
REQUEST	21		send location	1593592749284	1593592749286	OK	 
REQUEST	21		send postback	1593592749288	1593592749289	OK	 
USER	All Check	21	END	1593592749272	1593592749291
USER	All Check	22	START	1593592749401	1593592749401
REQUEST	22		healthy	1593592749402	1593592749405	OK	 
REQUEST	22		who are you	1593592749407	1593592749408	OK	 
REQUEST	22		parrot	1593592749410	1593592749413	OK	 
REQUEST	22		send location	1593592749415	1593592749417	OK	 
REQUEST	22		send postback	1593592749420	1593592749423	OK	 
USER	All Check	22	END	1593592749401	1593592749424
USER	All Check	23	START	1593592749531	1593592749531
REQUEST	23		healthy	1593592749533	1593592749536	OK	 
REQUEST	23		who are you	1593592749538	1593592749539	OK	 
REQUEST	23		parrot	1593592749541	1593592749543	OK	 
REQUEST	23		send location	1593592749545	1593592749547	OK	 
REQUEST	23		send postback	1593592749550	1593592749552	OK	 
USER	All Check	23	END	1593592749531	1593592749554
USER	All Check	24	START	1593592749661	1593592749661
REQUEST	24		healthy	1593592749662	1593592749665	OK	 
REQUEST	24		who are you	1593592749667	1593592749669	OK	 
REQUEST	24		parrot	1593592749671	1593592749673	OK	 
REQUEST	24		send location	1593592749675	1593592749677	OK	 
REQUEST	24		send postback	1593592749679	1593592749681	OK	 
USER	All Check	24	END	1593592749661	1593592749682
USER	All Check	25	START	1593592749782	1593592749782
REQUEST	25		healthy	1593592749783	1593592749787	OK	 
REQUEST	25		who are you	1593592749788	1593592749790	OK	 
REQUEST	25		parrot	1593592749792	1593592749793	OK	 
REQUEST	25		send location	1593592749795	1593592749798	OK	 
REQUEST	25		send postback	1593592749800	1593592749801	OK	 
USER	All Check	25	END	1593592749782	1593592749802
USER	All Check	26	START	1593592749891	1593592749891
REQUEST	26		healthy	1593592749893	1593592749897	OK	 
REQUEST	26		who are you	1593592749899	1593592749901	OK	 
REQUEST	26		parrot	1593592749904	1593592749906	OK	 
REQUEST	26		send location	1593592749908	1593592749910	OK	 
REQUEST	26		send postback	1593592749913	1593592749914	OK	 
USER	All Check	26	END	1593592749891	1593592749915
USER	All Check	27	START	1593592750001	1593592750001
REQUEST	27		healthy	1593592750002	1593592750005	OK	 
REQUEST	27		who are you	1593592750007	1593592750009	OK	 
REQUEST	27		parrot	1593592750010	1593592750012	OK	 
REQUEST	27		send location	1593592750014	1593592750017	OK	 
REQUEST	27		send postback	1593592750019	1593592750021	OK	 
USER	All Check	27	END	1593592750001	1593592750022
USER	All Check	28	START	1593592750112	1593592750112
REQUEST	28		healthy	1593592750113	1593592750117	OK	 
REQUEST	28		who are you	1593592750121	1593592750124	OK	 
REQUEST	28		parrot	1593592750126	1593592750128	OK	 
REQUEST	28		send location	1593592750131	1593592750133	OK	 
REQUEST	28		send postback	1593592750135	1593592750137	OK	 
USER	All Check	28	END	1593592750112	1593592750138
USER	All Check	29	START	1593592750222	1593592750222
REQUEST	29		healthy	1593592750223	1593592750225	OK	 
REQUEST	29		who are you	1593592750227	1593592750229	OK	 
REQUEST	29		parrot	1593592750231	1593592750233	OK	 
REQUEST	29		send location	1593592750235	1593592750237	OK	 
REQUEST	29		send postback	1593592750239	1593592750241	OK	 
USER	All Check	29	END	1593592750222	1593592750242
USER	All Check	30	START	1593592750322	1593592750322
REQUEST	30		healthy	1593592750324	1593592750327	OK	 
REQUEST	30		who are you	1593592750329	1593592750330	OK	 
REQUEST	30		parrot	1593592750332	1593592750335	OK	 
REQUEST	30		send location	1593592750337	1593592750340	OK	 
REQUEST	30		send postback	1593592750342	1593592750344	OK	 
USER	All Check	30	END	1593592750322	1593592750345
USER	All Check	31	START	1593592750412	1593592750412
REQUEST	31		healthy	1593592750413	1593592750416	OK	 
REQUEST	31		who are you	1593592750418	1593592750420	OK	 
REQUEST	31		parrot	1593592750422	1593592750425	OK	 
REQUEST	31		send location	1593592750427	1593592750430	OK	 
REQUEST	31		send postback	1593592750433	1593592750436	OK	 
USER	All Check	31	END	1593592750412	1593592750438
USER	All Check	32	START	1593592750511	1593592750511
REQUEST	32		healthy	1593592750512	1593592750514	OK	 
REQUEST	32		who are you	1593592750516	1593592750518	OK	 
REQUEST	32		parrot	1593592750520	1593592750522	OK	 
REQUEST	32		send location	1593592750523	1593592750525	OK	 
REQUEST	32		send postback	1593592750528	1593592750531	OK	 
USER	All Check	32	END	1593592750511	1593592750532
USER	All Check	33	START	1593592750602	1593592750602
REQUEST	33		healthy	1593592750603	1593592750606	OK	 
REQUEST	33		who are you	1593592750608	1593592750609	OK	 
REQUEST	33		parrot	1593592750611	1593592750613	OK	 
REQUEST	33		send location	1593592750615	1593592750617	OK	 
REQUEST	33		send postback	1593592750634	1593592750636	OK	 
USER	All Check	33	END	1593592750602	1593592750637
USER	All Check	34	START	1593592750704	1593592750704
REQUEST	34		healthy	1593592750704	1593592750707	OK	 
REQUEST	34		who are you	1593592750708	1593592750709	OK	 
REQUEST	34		parrot	1593592750711	1593592750713	OK	 
REQUEST	34		send location	1593592750715	1593592750717	OK	 
REQUEST	34		send postback	1593592750720	1593592750722	OK	 
USER	All Check	34	END	1593592750704	1593592750723
USER	All Check	35	START	1593592750791	1593592750791
REQUEST	35		healthy	1593592750792	1593592750794	OK	 
REQUEST	35		who are you	1593592750796	1593592750798	OK	 
REQUEST	35		parrot	1593592750800	1593592750801	OK	 
REQUEST	35		send location	1593592750803	1593592750805	OK	 
REQUEST	35		send postback	1593592750806	1593592750808	OK	 
USER	All Check	35	END	1593592750791	1593592750809
USER	All Check	36	START	1593592750883	1593592750883
REQUEST	36		healthy	1593592750884	1593592750886	OK	 
REQUEST	36		who are you	1593592750888	1593592750890	OK	 
REQUEST	36		parrot	1593592750892	1593592750894	OK	 
REQUEST	36		send location	1593592750896	1593592750899	OK	 
REQUEST	36		send postback	1593592750901	1593592750903	OK	 
USER	All Check	36	END	1593592750883	1593592750905
USER	All Check	37	START	1593592750961	1593592750961
REQUEST	37		healthy	1593592750962	1593592750965	OK	 
REQUEST	37		who are you	1593592750967	1593592750968	OK	 
REQUEST	37		parrot	1593592750970	1593592750972	OK	 
REQUEST	37		send location	1593592750973	1593592750975	OK	 
REQUEST	37		send postback	1593592750976	1593592750978	OK	 
USER	All Check	37	END	1593592750961	1593592750979
USER	All Check	38	START	1593592751042	1593592751042
REQUEST	38		healthy	1593592751043	1593592751047	OK	 
REQUEST	38		who are you	1593592751048	1593592751049	OK	 
REQUEST	38		parrot	1593592751051	1593592751052	OK	 
REQUEST	38		send location	1593592751053	1593592751055	OK	 
REQUEST	38		send postback	1593592751057	1593592751059	OK	 
USER	All Check	38	END	1593592751042	1593592751060
USER	All Check	39	START	1593592751122	1593592751122
REQUEST	39		healthy	1593592751123	1593592751126	OK	 
REQUEST	39		who are you	1593592751127	1593592751129	OK	 
REQUEST	39		parrot	1593592751131	1593592751132	OK	 
REQUEST	39		send location	1593592751134	1593592751136	OK	 
REQUEST	39		send postback	1593592751137	1593592751139	OK	 
USER	All Check	39	END	1593592751122	1593592751140
USER	All Check	40	START	1593592751201	1593592751201
REQUEST	40		healthy	1593592751202	1593592751205	OK	 
REQUEST	40		who are you	1593592751206	1593592751208	OK	 
REQUEST	40		parrot	1593592751209	1593592751211	OK	 
REQUEST	40		send location	1593592751213	1593592751215	OK	 
REQUEST	40		send postback	1593592751217	1593592751219	OK	 
USER	All Check	40	END	1593592751201	1593592751220
USER	All Check	41	START	1593592751282	1593592751282
REQUEST	41		healthy	1593592751284	1593592751293	OK	 
REQUEST	41		who are you	1593592751295	1593592751297	OK	 
REQUEST	41		parrot	1593592751299	1593592751300	OK	 
REQUEST	41		send location	1593592751302	1593592751304	OK	 
REQUEST	41		send postback	1593592751306	1593592751307	OK	 
USER	All Check	41	END	1593592751282	1593592751309
USER	All Check	42	START	1593592751351	1593592751351
REQUEST	42		healthy	1593592751352	1593592751355	OK	 
REQUEST	42		who are you	1593592751356	1593592751358	OK	 
REQUEST	42		parrot	1593592751361	1593592751363	OK	 
REQUEST	42		send location	1593592751365	1593592751367	OK	 
REQUEST	42		send postback	1593592751369	1593592751371	OK	 
USER	All Check	42	END	1593592751351	1593592751372
USER	All Check	43	START	1593592751433	1593592751433
REQUEST	43		healthy	1593592751434	1593592751436	OK	 
REQUEST	43		who are you	1593592751437	1593592751439	OK	 
REQUEST	43		parrot	1593592751440	1593592751442	OK	 
REQUEST	43		send location	1593592751444	1593592751445	OK	 
REQUEST	43		send postback	1593592751447	1593592751449	OK	 
USER	All Check	43	END	1593592751433	1593592751450
USER	All Check	44	START	1593592751501	1593592751501
REQUEST	44		healthy	1593592751502	1593592751504	OK	 
REQUEST	44		who are you	1593592751505	1593592751507	OK	 
REQUEST	44		parrot	1593592751509	1593592751510	OK	 
REQUEST	44		send location	1593592751512	1593592751514	OK	 
REQUEST	44		send postback	1593592751515	1593592751517	OK	 
USER	All Check	44	END	1593592751501	1593592751518
USER	All Check	45	START	1593592751571	1593592751571
REQUEST	45		healthy	1593592751572	1593592751575	OK	 
REQUEST	45		who are you	1593592751576	1593592751578	OK	 
REQUEST	45		parrot	1593592751580	1593592751581	OK	 
REQUEST	45		send location	1593592751582	1593592751584	OK	 
REQUEST	45		send postback	1593592751585	1593592751586	OK	 
USER	All Check	45	END	1593592751571	1593592751588
USER	All Check	46	START	1593592751643	1593592751643
REQUEST	46		healthy	1593592751643	1593592751646	OK	 
REQUEST	46		who are you	1593592751647	1593592751649	OK	 
REQUEST	46		parrot	1593592751650	1593592751652	OK	 
REQUEST	46		send location	1593592751653	1593592751656	OK	 
REQUEST	46		send postback	1593592751658	1593592751660	OK	 
USER	All Check	46	END	1593592751643	1593592751661
USER	All Check	47	START	1593592751703	1593592751703
REQUEST	47		healthy	1593592751704	1593592751706	OK	 
REQUEST	47		who are you	1593592751707	1593592751709	OK	 
REQUEST	47		parrot	1593592751710	1593592751712	OK	 
REQUEST	47		send location	1593592751715	1593592751716	OK	 
REQUEST	47		send postback	1593592751718	1593592751719	OK	 
USER	All Check	47	END	1593592751703	1593592751721
USER	All Check	48	START	1593592751761	1593592751761
REQUEST	48		healthy	1593592751761	1593592751764	OK	 
REQUEST	48		who are you	1593592751765	1593592751767	OK	 
REQUEST	48		parrot	1593592751768	1593592751771	OK	 
REQUEST	48		send location	1593592751773	1593592751775	OK	 
REQUEST	48		send postback	1593592751778	1593592751780	OK	 
USER	All Check	48	END	1593592751761	1593592751782
USER	All Check	49	START	1593592751832	1593592751832
REQUEST	49		healthy	1593592751833	1593592751835	OK	 
REQUEST	49		who are you	1593592751836	1593592751838	OK	 
REQUEST	49		parrot	1593592751839	1593592751841	OK	 
REQUEST	49		send location	1593592751842	1593592751843	OK	 
REQUEST	49		send postback	1593592751845	1593592751846	OK	 
USER	All Check	49	END	1593592751832	1593592751847
USER	All Check	50	START	1593592751891	1593592751891
REQUEST	50		healthy	1593592751892	1593592751894	OK	 
REQUEST	50		who are you	1593592751895	1593592751897	OK	 
REQUEST	50		parrot	1593592751898	1593592751900	OK	 
REQUEST	50		send location	1593592751902	1593592751904	OK	 
REQUEST	50		send postback	1593592751906	1593592751910	OK	 
USER	All Check	50	END	1593592751891	1593592751911
USER	All Check	51	START	1593592751962	1593592751962
REQUEST	51		healthy	1593592751962	1593592751965	OK	 
REQUEST	51		who are you	1593592751967	1593592751970	OK	 
REQUEST	51		parrot	1593592751972	1593592751973	OK	 
REQUEST	51		send location	1593592751975	1593592751977	OK	 
REQUEST	51		send postback	1593592751978	1593592751980	OK	 
USER	All Check	51	END	1593592751962	1593592751981
USER	All Check	52	START	1593592752022	1593592752022
REQUEST	52		healthy	1593592752023	1593592752025	OK	 
REQUEST	52		who are you	1593592752027	1593592752029	OK	 
REQUEST	52		parrot	1593592752031	1593592752032	OK	 
REQUEST	52		send location	1593592752033	1593592752035	OK	 
REQUEST	52		send postback	1593592752036	1593592752038	OK	 
USER	All Check	52	END	1593592752022	1593592752039
USER	All Check	53	START	1593592752083	1593592752083
REQUEST	53		healthy	1593592752084	1593592752087	OK	 
REQUEST	53		who are you	1593592752088	1593592752090	OK	 
REQUEST	53		parrot	1593592752091	1593592752093	OK	 
REQUEST	53		send location	1593592752094	1593592752096	OK	 
REQUEST	53		send postback	1593592752098	1593592752099	OK	 
USER	All Check	53	END	1593592752083	1593592752100
USER	All Check	54	START	1593592752143	1593592752143
REQUEST	54		healthy	1593592752144	1593592752147	OK	 
REQUEST	54		who are you	1593592752148	1593592752152	OK	 
REQUEST	54		parrot	1593592752153	1593592752155	OK	 
REQUEST	54		send location	1593592752156	1593592752158	OK	 
REQUEST	54		send postback	1593592752160	1593592752161	OK	 
USER	All Check	54	END	1593592752143	1593592752163
USER	All Check	55	START	1593592752201	1593592752201
REQUEST	55		healthy	1593592752202	1593592752204	OK	 
REQUEST	55		who are you	1593592752205	1593592752207	OK	 
REQUEST	55		parrot	1593592752208	1593592752210	OK	 
REQUEST	55		send location	1593592752211	1593592752214	OK	 
REQUEST	55		send postback	1593592752216	1593592752218	OK	 
USER	All Check	55	END	1593592752201	1593592752219
USER	All Check	56	START	1593592752261	1593592752261
REQUEST	56		healthy	1593592752262	1593592752265	OK	 
REQUEST	56		who are you	1593592752266	1593592752268	OK	 
REQUEST	56		parrot	1593592752270	1593592752272	OK	 
REQUEST	56		send location	1593592752273	1593592752275	OK	 
REQUEST	56		send postback	1593592752277	1593592752279	OK	 
USER	All Check	56	END	1593592752261	1593592752280
USER	All Check	57	START	1593592752312	1593592752312
REQUEST	57		healthy	1593592752313	1593592752316	OK	 
REQUEST	57		who are you	1593592752317	1593592752320	OK	 
REQUEST	57		parrot	1593592752322	1593592752324	OK	 
REQUEST	57		send location	1593592752325	1593592752327	OK	 
REQUEST	57		send postback	1593592752329	1593592752331	OK	 
USER	All Check	57	END	1593592752312	1593592752333
USER	All Check	58	START	1593592752374	1593592752374
REQUEST	58		healthy	1593592752374	1593592752377	OK	 
REQUEST	58		who are you	1593592752378	1593592752379	OK	 
REQUEST	58		parrot	1593592752381	1593592752382	OK	 
REQUEST	58		send location	1593592752384	1593592752385	OK	 
REQUEST	58		send postback	1593592752387	1593592752389	OK	 
USER	All Check	58	END	1593592752374	1593592752390
USER	All Check	59	START	1593592752423	1593592752423
REQUEST	59		healthy	1593592752424	1593592752426	OK	 
REQUEST	59		who are you	1593592752427	1593592752429	OK	 
REQUEST	59		parrot	1593592752430	1593592752432	OK	 
REQUEST	59		send location	1593592752433	1593592752434	OK	 
REQUEST	59		send postback	1593592752436	1593592752437	OK	 
USER	All Check	59	END	1593592752423	1593592752438
USER	All Check	60	START	1593592752483	1593592752483
REQUEST	60		healthy	1593592752484	1593592752487	OK	 
REQUEST	60		who are you	1593592752488	1593592752490	OK	 
REQUEST	60		parrot	1593592752492	1593592752494	OK	 
REQUEST	60		send location	1593592752496	1593592752498	OK	 
REQUEST	60		send postback	1593592752500	1593592752502	OK	 
USER	All Check	60	END	1593592752483	1593592752503
USER	All Check	61	START	1593592752532	1593592752532
REQUEST	61		healthy	1593592752533	1593592752535	OK	 
REQUEST	61		who are you	1593592752536	1593592752537	OK	 
REQUEST	61		parrot	1593592752539	1593592752541	OK	 
REQUEST	61		send location	1593592752543	1593592752545	OK	 
REQUEST	61		send postback	1593592752547	1593592752549	OK	 
USER	All Check	61	END	1593592752532	1593592752550
USER	All Check	62	START	1593592752592	1593592752592
REQUEST	62		healthy	1593592752593	1593592752595	OK	 
REQUEST	62		who are you	1593592752596	1593592752598	OK	 
REQUEST	62		parrot	1593592752599	1593592752601	OK	 
REQUEST	62		send location	1593592752602	1593592752604	OK	 
REQUEST	62		send postback	1593592752606	1593592752608	OK	 
USER	All Check	62	END	1593592752592	1593592752609
USER	All Check	63	START	1593592752643	1593592752643
REQUEST	63		healthy	1593592752644	1593592752646	OK	 
REQUEST	63		who are you	1593592752648	1593592752649	OK	 
REQUEST	63		parrot	1593592752651	1593592752653	OK	 
REQUEST	63		send location	1593592752655	1593592752658	OK	 
REQUEST	63		send postback	1593592752660	1593592752662	OK	 
USER	All Check	63	END	1593592752643	1593592752663
USER	All Check	64	START	1593592752694	1593592752694
REQUEST	64		healthy	1593592752695	1593592752698	OK	 
REQUEST	64		who are you	1593592752699	1593592752701	OK	 
REQUEST	64		parrot	1593592752703	1593592752705	OK	 
REQUEST	64		send location	1593592752707	1593592752709	OK	 
REQUEST	64		send postback	1593592752711	1593592752714	OK	 
USER	All Check	64	END	1593592752694	1593592752715
USER	All Check	65	START	1593592752742	1593592752742
REQUEST	65		healthy	1593592752743	1593592752746	OK	 
REQUEST	65		who are you	1593592752747	1593592752748	OK	 
REQUEST	65		parrot	1593592752750	1593592752751	OK	 
REQUEST	65		send location	1593592752752	1593592752754	OK	 
REQUEST	65		send postback	1593592752755	1593592752757	OK	 
USER	All Check	65	END	1593592752742	1593592752758
USER	All Check	66	START	1593592752793	1593592752793
REQUEST	66		healthy	1593592752794	1593592752797	OK	 
REQUEST	66		who are you	1593592752799	1593592752800	OK	 
REQUEST	66		parrot	1593592752801	1593592752803	OK	 
REQUEST	66		send location	1593592752804	1593592752806	OK	 
REQUEST	66		send postback	1593592752807	1593592752808	OK	 
USER	All Check	66	END	1593592752793	1593592752809
USER	All Check	67	START	1593592752843	1593592752843
REQUEST	67		healthy	1593592752844	1593592752847	OK	 
REQUEST	67		who are you	1593592752848	1593592752849	OK	 
REQUEST	67		parrot	1593592752851	1593592752852	OK	 
REQUEST	67		send location	1593592752853	1593592752855	OK	 
REQUEST	67		send postback	1593592752856	1593592752858	OK	 
USER	All Check	67	END	1593592752843	1593592752859
USER	All Check	68	START	1593592752892	1593592752892
REQUEST	68		healthy	1593592752893	1593592752895	OK	 
REQUEST	68		who are you	1593592752896	1593592752898	OK	 
