RUN	linebot.LineBotSimulation	linebotsimulation	1593586820430	 	3.3.1
USER	All Check	1	START	1593586822120	1593586822120
REQUEST	1		healthy	1593586822165	1593586822185	OK	 
REQUEST	1		who are you	1593586822336	1593586822345	OK	 
REQUEST	1		parrot	1593586822440	1593586822444	OK	 
REQUEST	1		send location	1593586822451	1593586822454	OK	 
REQUEST	1		send postback	1593586822465	1593586822468	OK	 
USER	All Check	1	END	1593586822120	1593586822477
USER	All Check	2	START	1593586823956	1593586823956
REQUEST	2		healthy	1593586823958	1593586823974	OK	 
REQUEST	2		who are you	1593586823978	1593586823982	OK	 
REQUEST	2		parrot	1593586823986	1593586823989	OK	 
REQUEST	2		send location	1593586823992	1593586823995	OK	 
REQUEST	2		send postback	1593586823998	1593586824000	OK	 
USER	All Check	2	END	1593586823956	1593586824003
USER	All Check	3	START	1593586825075	1593586825075
REQUEST	3		healthy	1593586825077	1593586825093	OK	 
REQUEST	3		who are you	1593586825096	1593586825099	OK	 
REQUEST	3		parrot	1593586825102	1593586825105	OK	 
REQUEST	3		send location	1593586825108	1593586825111	OK	 
REQUEST	3		send postback	1593586825115	1593586825116	OK	 
USER	All Check	3	END	1593586825075	1593586825118
USER	All Check	4	START	1593586825886	1593586825886
REQUEST	4		healthy	1593586825888	1593586825903	OK	 
REQUEST	4		who are you	1593586825906	1593586825907	OK	 
REQUEST	4		parrot	1593586825910	1593586825912	OK	 
REQUEST	4		send location	1593586825915	1593586825917	OK	 
REQUEST	4		send postback	1593586825920	1593586825922	OK	 
USER	All Check	4	END	1593586825886	1593586825924
USER	All Check	5	START	1593586826536	1593586826536
REQUEST	5		healthy	1593586826537	1593586826551	OK	 
REQUEST	5		who are you	1593586826555	1593586826558	OK	 
REQUEST	5		parrot	1593586826562	1593586826565	OK	 
REQUEST	5		send location	1593586826568	1593586826571	OK	 
REQUEST	5		send postback	1593586826576	1593586826580	OK	 
USER	All Check	5	END	1593586826536	1593586826583
USER	All Check	6	START	1593586827075	1593586827075
REQUEST	6		healthy	1593586827077	1593586827092	OK	 
REQUEST	6		who are you	1593586827094	1593586827096	OK	 
REQUEST	6		parrot	1593586827099	1593586827101	OK	 
REQUEST	6		send location	1593586827103	1593586827105	OK	 
REQUEST	6		send postback	1593586827108	1593586827110	OK	 
USER	All Check	6	END	1593586827075	1593586827112
USER	All Check	7	START	1593586827537	1593586827537
REQUEST	7		healthy	1593586827538	1593586827554	OK	 
REQUEST	7		who are you	1593586827557	1593586827559	OK	 
REQUEST	7		parrot	1593586827564	1593586827566	OK	 
REQUEST	7		send location	1593586827569	1593586827570	OK	 
REQUEST	7		send postback	1593586827574	1593586827575	OK	 
USER	All Check	7	END	1593586827537	1593586827577
USER	All Check	8	START	1593586827945	1593586827945
REQUEST	8		healthy	1593586827946	1593586827950	OK	 
REQUEST	8		who are you	1593586827953	1593586827955	OK	 
REQUEST	8		parrot	1593586827957	1593586827960	OK	 
REQUEST	8		send location	1593586827963	1593586827965	OK	 
REQUEST	8		send postback	1593586827968	1593586827970	OK	 
USER	All Check	8	END	1593586827945	1593586827971
USER	All Check	9	START	1593586828316	1593586828316
REQUEST	9		healthy	1593586828317	1593586828320	OK	 
REQUEST	9		who are you	1593586828322	1593586828324	OK	 
REQUEST	9		parrot	1593586828327	1593586828329	OK	 
REQUEST	9		send location	1593586828332	1593586828335	OK	 
REQUEST	9		send postback	1593586828339	1593586828341	OK	 
USER	All Check	9	END	1593586828316	1593586828343
USER	All Check	10	START	1593586828645	1593586828645
REQUEST	10		healthy	1593586828646	1593586828649	OK	 
REQUEST	10		who are you	1593586828651	1593586828653	OK	 
REQUEST	10		parrot	1593586828656	1593586828657	OK	 
REQUEST	10		send location	1593586828659	1593586828662	OK	 
REQUEST	10		send postback	1593586828666	1593586828668	OK	 
USER	All Check	10	END	1593586828645	1593586828670
