RUN	linebot.LineBotSimulation	linebotsimulation	1593587249466	 	3.3.1
USER	All Check	1	START	1593587251101	1593587251101
REQUEST	1		healthy	1593587251136	1593587251157	OK	 
REQUEST	1		who are you	1593587251303	1593587251310	OK	 
REQUEST	1		parrot	1593587251395	1593587251399	OK	 
REQUEST	1		send location	1593587251405	1593587251407	OK	 
REQUEST	1		send postback	1593587251419	1593587251421	OK	 
USER	All Check	1	END	1593587251101	1593587251431
USER	All Check	2	START	1593587252930	1593587252930
REQUEST	2		healthy	1593587252931	1593587252947	OK	 
REQUEST	2		who are you	1593587252950	1593587252954	OK	 
REQUEST	2		parrot	1593587252958	1593587252961	OK	 
REQUEST	2		send location	1593587252965	1593587252967	OK	 
REQUEST	2		send postback	1593587252970	1593587252974	OK	 
USER	All Check	2	END	1593587252930	1593587252976
USER	All Check	3	START	1593587254051	1593587254051
REQUEST	3		healthy	1593587254053	1593587254069	OK	 
REQUEST	3		who are you	1593587254071	1593587254073	OK	 
REQUEST	3		parrot	1593587254076	1593587254078	OK	 
REQUEST	3		send location	1593587254080	1593587254083	OK	 
REQUEST	3		send postback	1593587254085	1593587254088	OK	 
USER	All Check	3	END	1593587254051	1593587254089
USER	All Check	4	START	1593587254861	1593587254861
REQUEST	4		healthy	1593587254863	1593587254878	OK	 
REQUEST	4		who are you	1593587254880	1593587254882	OK	 
REQUEST	4		parrot	1593587254884	1593587254887	OK	 
REQUEST	4		send location	1593587254889	1593587254892	OK	 
REQUEST	4		send postback	1593587254897	1593587254899	OK	 
USER	All Check	4	END	1593587254861	1593587254902
USER	All Check	5	START	1593587255511	1593587255511
REQUEST	5		healthy	1593587255513	1593587255528	OK	 
REQUEST	5		who are you	1593587255530	1593587255533	OK	 
REQUEST	5		parrot	1593587255535	1593587255537	OK	 
REQUEST	5		send location	1593587255542	1593587255544	OK	 
REQUEST	5		send postback	1593587255548	1593587255551	OK	 
USER	All Check	5	END	1593587255511	1593587255553
USER	All Check	6	START	1593587256051	1593587256051
REQUEST	6		healthy	1593587256053	1593587256070	OK	 
REQUEST	6		who are you	1593587256074	1593587256076	OK	 
REQUEST	6		parrot	1593587256079	1593587256082	OK	 
REQUEST	6		send location	1593587256084	1593587256087	OK	 
REQUEST	6		send postback	1593587256090	1593587256092	OK	 
USER	All Check	6	END	1593587256051	1593587256094
