RUN	linebot.LineBotSimulation	linebotsimulation	1593599003853	 	3.3.1
REQUEST	20		send location	1593599013482	1593599013483	OK	 
REQUEST	20		send postback	1593599013485	1593599013486	OK	 
USER	All Check	20	END	1593599013470	1593599013488
USER	All Check	21	START	1593599013591	1593599013591
REQUEST	21		who are you	1593599013593	1593599013596	OK	 
REQUEST	21		parrot	1593599013598	1593599013599	OK	 
REQUEST	21		send location	1593599013601	1593599013603	OK	 
REQUEST	21		send postback	1593599013605	1593599013606	OK	 
USER	All Check	21	END	1593599013591	1593599013608
USER	All Check	22	START	1593599013761	1593599013761
REQUEST	22		who are you	1593599013766	1593599013768	OK	 
REQUEST	22		parrot	1593599013770	1593599013772	OK	 
REQUEST	22		send location	1593599013773	1593599013774	OK	 
REQUEST	22		send postback	1593599013776	1593599013777	OK	 
USER	All Check	22	END	1593599013761	1593599013778
USER	All Check	23	START	1593599013891	1593599013891
REQUEST	23		who are you	1593599013893	1593599013896	OK	 
REQUEST	23		parrot	1593599013898	1593599013899	OK	 
REQUEST	23		send location	1593599013901	1593599013902	OK	 
REQUEST	23		send postback	1593599013904	1593599013905	OK	 
USER	All Check	23	END	1593599013891	1593599013907
USER	All Check	24	START	1593599014019	1593599014019
REQUEST	24		who are you	1593599014021	1593599014023	OK	 
REQUEST	24		parrot	1593599014025	1593599014026	OK	 
REQUEST	24		send location	1593599014028	1593599014030	OK	 
REQUEST	24		send postback	1593599014033	1593599014034	OK	 
USER	All Check	24	END	1593599014019	1593599014035
USER	All Check	25	START	1593599014151	1593599014151
REQUEST	25		who are you	1593599014155	1593599014157	OK	 
REQUEST	25		parrot	1593599014159	1593599014160	OK	 
REQUEST	25		send location	1593599014162	1593599014163	OK	 
REQUEST	25		send postback	1593599014165	1593599014166	OK	 
USER	All Check	25	END	1593599014151	1593599014167
USER	All Check	26	START	1593599014269	1593599014269
REQUEST	26		who are you	1593599014272	1593599014274	OK	 
REQUEST	26		parrot	1593599014276	1593599014277	OK	 
REQUEST	26		send location	1593599014279	1593599014280	OK	 
REQUEST	26		send postback	1593599014282	1593599014283	OK	 
USER	All Check	26	END	1593599014269	1593599014284
USER	All Check	27	START	1593599014391	1593599014391
REQUEST	27		who are you	1593599014393	1593599014396	OK	 
REQUEST	27		parrot	1593599014398	1593599014400	OK	 
REQUEST	27		send location	1593599014402	1593599014404	OK	 
REQUEST	27		send postback	1593599014406	1593599014407	OK	 
USER	All Check	27	END	1593599014391	1593599014408
USER	All Check	28	START	1593599014500	1593599014500
REQUEST	28		who are you	1593599014501	1593599014503	OK	 
REQUEST	28		parrot	1593599014505	1593599014506	OK	 
REQUEST	28		send location	1593599014508	1593599014509	OK	 
REQUEST	28		send postback	1593599014511	1593599014512	OK	 
USER	All Check	28	END	1593599014500	1593599014513
USER	All Check	29	START	1593599014611	1593599014611
REQUEST	29		who are you	1593599014613	1593599014616	OK	 
REQUEST	29		parrot	1593599014617	1593599014619	OK	 
REQUEST	29		send location	1593599014621	1593599014623	OK	 
REQUEST	29		send postback	1593599014625	1593599014626	OK	 
USER	All Check	29	END	1593599014611	1593599014627
USER	All Check	30	START	1593599014721	1593599014721
REQUEST	30		who are you	1593599014723	1593599014725	OK	 
REQUEST	30		parrot	1593599014727	1593599014728	OK	 
REQUEST	30		send location	1593599014731	1593599014732	OK	 
REQUEST	30		send postback	1593599014735	1593599014736	OK	 
USER	All Check	30	END	1593599014721	1593599014738
USER	All Check	31	START	1593599014821	1593599014821
REQUEST	31		who are you	1593599014823	1593599014826	OK	 
REQUEST	31		parrot	1593599014828	1593599014830	OK	 
REQUEST	31		send location	1593599014832	1593599014834	OK	 
REQUEST	31		send postback	1593599014838	1593599014840	OK	 
USER	All Check	31	END	1593599014821	1593599014841
USER	All Check	32	START	1593599014931	1593599014931
REQUEST	32		who are you	1593599014932	1593599014935	OK	 
REQUEST	32		parrot	1593599014937	1593599014938	OK	 
REQUEST	32		send location	1593599014940	1593599014942	OK	 
REQUEST	32		send postback	1593599014948	1593599014950	OK	 
USER	All Check	32	END	1593599014931	1593599014951
USER	All Check	33	START	1593599015021	1593599015021
REQUEST	33		who are you	1593599015023	1593599015025	OK	 
REQUEST	33		parrot	1593599015027	1593599015028	OK	 
REQUEST	33		send location	1593599015031	1593599015032	OK	 
REQUEST	33		send postback	1593599015034	1593599015035	OK	 
USER	All Check	33	END	1593599015021	1593599015037
USER	All Check	34	START	1593599015121	1593599015121
REQUEST	34		who are you	1593599015123	1593599015126	OK	 
REQUEST	34		parrot	1593599015127	1593599015128	OK	 
REQUEST	34		send location	1593599015130	1593599015131	OK	 
REQUEST	34		send postback	1593599015132	1593599015133	OK	 
USER	All Check	34	END	1593599015121	1593599015134
USER	All Check	35	START	1593599015211	1593599015211
REQUEST	35		who are you	1593599015213	1593599015215	OK	 
REQUEST	35		parrot	1593599015217	1593599015218	OK	 
REQUEST	35		send location	1593599015233	1593599015235	OK	 
REQUEST	35		send postback	1593599015236	1593599015237	OK	 
USER	All Check	35	END	1593599015211	1593599015238
USER	All Check	36	START	1593599015299	1593599015299
REQUEST	36		who are you	1593599015300	1593599015303	OK	 
REQUEST	36		parrot	1593599015304	1593599015305	OK	 
REQUEST	36		send location	1593599015306	1593599015307	OK	 
REQUEST	36		send postback	1593599015309	1593599015310	OK	 
USER	All Check	36	END	1593599015299	1593599015310
USER	All Check	37	START	1593599015390	1593599015390
REQUEST	37		who are you	1593599015391	1593599015394	OK	 
REQUEST	37		parrot	1593599015395	1593599015396	OK	 
REQUEST	37		send location	1593599015398	1593599015399	OK	 
REQUEST	37		send postback	1593599015400	1593599015402	OK	 
USER	All Check	37	END	1593599015390	1593599015403
USER	All Check	38	START	1593599015481	1593599015481
REQUEST	38		who are you	1593599015483	1593599015486	OK	 
REQUEST	38		parrot	1593599015487	1593599015488	OK	 
REQUEST	38		send location	1593599015490	1593599015490	OK	 
REQUEST	38		send postback	1593599015492	1593599015493	OK	 
