RUN	linebot.LineBotSimulation	linebotsimulation	1593598413548	 	3.3.1
REQUEST	20		send location	1593598422786	1593598422788	OK	 
REQUEST	20		send postback	1593598422790	1593598422791	OK	 
USER	All Check	20	END	1593598422775	1593598422793
USER	All Check	21	START	1593598422925	1593598422925
REQUEST	21		who are you	1593598422927	1593598422929	OK	 
REQUEST	21		parrot	1593598422931	1593598422933	OK	 
REQUEST	21		send location	1593598422934	1593598422937	OK	 
REQUEST	21		send postback	1593598422939	1593598422940	OK	 
USER	All Check	21	END	1593598422925	1593598422942
USER	All Check	22	START	1593598423055	1593598423055
REQUEST	22		who are you	1593598423057	1593598423060	OK	 
REQUEST	22		parrot	1593598423063	1593598423064	OK	 
REQUEST	22		send location	1593598423067	1593598423069	OK	 
REQUEST	22		send postback	1593598423071	1593598423072	OK	 
USER	All Check	22	END	1593598423055	1593598423073
USER	All Check	23	START	1593598423195	1593598423195
REQUEST	23		who are you	1593598423198	1593598423201	OK	 
REQUEST	23		parrot	1593598423203	1593598423204	OK	 
REQUEST	23		send location	1593598423206	1593598423207	OK	 
REQUEST	23		send postback	1593598423209	1593598423210	OK	 
USER	All Check	23	END	1593598423195	1593598423212
USER	All Check	24	START	1593598423316	1593598423316
REQUEST	24		who are you	1593598423319	1593598423321	OK	 
REQUEST	24		parrot	1593598423323	1593598423324	OK	 
REQUEST	24		send location	1593598423326	1593598423328	OK	 
REQUEST	24		send postback	1593598423330	1593598423331	OK	 
USER	All Check	24	END	1593598423316	1593598423333
USER	All Check	25	START	1593598423436	1593598423436
REQUEST	25		who are you	1593598423439	1593598423442	OK	 
REQUEST	25		parrot	1593598423444	1593598423446	OK	 
REQUEST	25		send location	1593598423447	1593598423449	OK	 
REQUEST	25		send postback	1593598423451	1593598423453	OK	 
USER	All Check	25	END	1593598423436	1593598423454
USER	All Check	26	START	1593598423556	1593598423556
REQUEST	26		who are you	1593598423558	1593598423561	OK	 
REQUEST	26		parrot	1593598423563	1593598423564	OK	 
REQUEST	26		send location	1593598423566	1593598423567	OK	 
REQUEST	26		send postback	1593598423569	1593598423572	OK	 
USER	All Check	26	END	1593598423556	1593598423573
USER	All Check	27	START	1593598423667	1593598423667
REQUEST	27		who are you	1593598423670	1593598423676	OK	 
REQUEST	27		parrot	1593598423681	1593598423682	OK	 
REQUEST	27		send location	1593598423684	1593598423686	OK	 
REQUEST	27		send postback	1593598423689	1593598423691	OK	 
USER	All Check	27	END	1593598423667	1593598423692
USER	All Check	28	START	1593598423775	1593598423775
REQUEST	28		who are you	1593598423777	1593598423779	OK	 
REQUEST	28		parrot	1593598423780	1593598423781	OK	 
REQUEST	28		send location	1593598423783	1593598423785	OK	 
REQUEST	28		send postback	1593598423787	1593598423788	OK	 
USER	All Check	28	END	1593598423775	1593598423789
