RUN	linebot.LineBotSimulation	linebotsimulation	1593597963820	 	3.3.1
REQUEST	20		send location	1593597973119	1593597973121	OK	 
REQUEST	20		send postback	1593597973124	1593597973127	OK	 
USER	All Check	20	END	1593597973106	1593597973128
USER	All Check	21	START	1593597973245	1593597973245
REQUEST	21		who are you	1593597973248	1593597973251	OK	 
REQUEST	21		parrot	1593597973254	1593597973255	OK	 
REQUEST	21		send location	1593597973257	1593597973260	OK	 
REQUEST	21		send postback	1593597973263	1593597973267	OK	 
USER	All Check	21	END	1593597973245	1593597973268
USER	All Check	22	START	1593597973385	1593597973385
REQUEST	22		who are you	1593597973387	1593597973393	OK	 
REQUEST	22		parrot	1593597973395	1593597973397	OK	 
REQUEST	22		send location	1593597973399	1593597973401	OK	 
REQUEST	22		send postback	1593597973402	1593597973404	OK	 
USER	All Check	22	END	1593597973385	1593597973405
USER	All Check	23	START	1593597973517	1593597973517
REQUEST	23		who are you	1593597973519	1593597973522	OK	 
REQUEST	23		parrot	1593597973525	1593597973527	OK	 
REQUEST	23		send location	1593597973529	1593597973531	OK	 
REQUEST	23		send postback	1593597973533	1593597973535	OK	 
USER	All Check	23	END	1593597973517	1593597973536
USER	All Check	24	START	1593597973646	1593597973646
REQUEST	24		who are you	1593597973649	1593597973652	OK	 
REQUEST	24		parrot	1593597973654	1593597973656	OK	 
REQUEST	24		send location	1593597973659	1593597973661	OK	 
REQUEST	24		send postback	1593597973663	1593597973665	OK	 
USER	All Check	24	END	1593597973646	1593597973666
USER	All Check	25	START	1593597973766	1593597973766
REQUEST	25		who are you	1593597973770	1593597973773	OK	 
REQUEST	25		parrot	1593597973785	1593597973787	OK	 
REQUEST	25		send location	1593597973789	1593597973792	OK	 
REQUEST	25		send postback	1593597973794	1593597973795	OK	 
USER	All Check	25	END	1593597973766	1593597973797
USER	All Check	26	START	1593597973886	1593597973886
REQUEST	26		who are you	1593597973888	1593597973891	OK	 
REQUEST	26		parrot	1593597973893	1593597973895	OK	 
REQUEST	26		send location	1593597973897	1593597973899	OK	 
REQUEST	26		send postback	1593597973900	1593597973902	OK	 
USER	All Check	26	END	1593597973886	1593597973903
USER	All Check	27	START	1593597973994	1593597973994
REQUEST	27		who are you	1593597973996	1593597973999	OK	 
REQUEST	27		parrot	1593597974002	1593597974004	OK	 
REQUEST	27		send location	1593597974009	1593597974012	OK	 
REQUEST	27		send postback	1593597974014	1593597974016	OK	 
USER	All Check	27	END	1593597973994	1593597974017
USER	All Check	28	START	1593597974105	1593597974105
REQUEST	28		who are you	1593597974107	1593597974111	OK	 
REQUEST	28		parrot	1593597974113	1593597974115	OK	 
REQUEST	28		send location	1593597974117	1593597974118	OK	 
REQUEST	28		send postback	1593597974120	1593597974122	OK	 
USER	All Check	28	END	1593597974105	1593597974123
USER	All Check	29	START	1593597974217	1593597974217
REQUEST	29		who are you	1593597974219	1593597974222	OK	 
REQUEST	29		parrot	1593597974224	1593597974229	OK	 
REQUEST	29		send location	1593597974230	1593597974236	OK	 
REQUEST	29		send postback	1593597974238	1593597974242	OK	 
USER	All Check	29	END	1593597974217	1593597974243
USER	All Check	30	START	1593597974316	1593597974316
REQUEST	30		who are you	1593597974318	1593597974320	OK	 
REQUEST	30		parrot	1593597974322	1593597974324	OK	 
REQUEST	30		send location	1593597974326	1593597974328	OK	 
REQUEST	30		send postback	1593597974329	1593597974331	OK	 
USER	All Check	30	END	1593597974316	1593597974332
USER	All Check	31	START	1593597974416	1593597974416
REQUEST	31		who are you	1593597974418	1593597974422	OK	 
REQUEST	31		parrot	1593597974425	1593597974427	OK	 
REQUEST	31		send location	1593597974428	1593597974431	OK	 
REQUEST	31		send postback	1593597974433	1593597974435	OK	 
USER	All Check	31	END	1593597974416	1593597974436
USER	All Check	32	START	1593597974514	1593597974514
REQUEST	32		who are you	1593597974516	1593597974519	OK	 
REQUEST	32		parrot	1593597974521	1593597974523	OK	 
REQUEST	32		send location	1593597974526	1593597974528	OK	 
REQUEST	32		send postback	1593597974531	1593597974533	OK	 
USER	All Check	32	END	1593597974514	1593597974535
USER	All Check	33	START	1593597974607	1593597974607
REQUEST	33		who are you	1593597974609	1593597974612	OK	 
REQUEST	33		parrot	1593597974613	1593597974615	OK	 
REQUEST	33		send location	1593597974617	1593597974618	OK	 
REQUEST	33		send postback	1593597974620	1593597974621	OK	 
USER	All Check	33	END	1593597974607	1593597974622
