RUN	linebot.LineBotSimulation	linebotsimulation	1593579734491	 	3.3.1
USER	All Check	1	START	1593579736186	1593579736186
REQUEST	1		healthy	1593579736230	1593579736250	OK	 
REQUEST	1		who are you	1593579736370	1593579736374	OK	 
REQUEST	1		parrot	1593579736452	1593579736454	OK	 
REQUEST	1		send location	1593579736460	1593579736463	OK	 
REQUEST	1		send postback	1593579736470	1593579736472	OK	 
USER	All Check	1	END	1593579736186	1593579736483
USER	All Check	2	START	1593579738009	1593579738009
REQUEST	2		healthy	1593579738010	1593579738028	OK	 
REQUEST	2		who are you	1593579738030	1593579738032	OK	 
REQUEST	2		parrot	1593579738036	1593579738038	OK	 
REQUEST	2		send location	1593579738041	1593579738043	OK	 
REQUEST	2		send postback	1593579738046	1593579738047	OK	 
USER	All Check	2	END	1593579738009	1593579738050
USER	All Check	3	START	1593579739131	1593579739131
REQUEST	3		healthy	1593579739132	1593579739147	OK	 
REQUEST	3		who are you	1593579739150	1593579739152	OK	 
REQUEST	3		parrot	1593579739156	1593579739160	OK	 
REQUEST	3		send location	1593579739163	1593579739165	OK	 
REQUEST	3		send postback	1593579739169	1593579739171	OK	 
USER	All Check	3	END	1593579739131	1593579739173
USER	All Check	4	START	1593579739949	1593579739949
REQUEST	4		healthy	1593579739951	1593579739965	OK	 
REQUEST	4		who are you	1593579739967	1593579739968	OK	 
REQUEST	4		parrot	1593579739971	1593579739972	OK	 
REQUEST	4		send location	1593579739974	1593579739975	OK	 
REQUEST	4		send postback	1593579739979	1593579739980	OK	 
USER	All Check	4	END	1593579739949	1593579739982
USER	All Check	5	START	1593579740599	1593579740599
REQUEST	5		healthy	1593579740600	1593579740615	OK	 
REQUEST	5		who are you	1593579740617	1593579740618	OK	 
REQUEST	5		parrot	1593579740621	1593579740623	OK	 
REQUEST	5		send location	1593579740625	1593579740626	OK	 
REQUEST	5		send postback	1593579740630	1593579740632	OK	 
USER	All Check	5	END	1593579740599	1593579740634
USER	All Check	6	START	1593579741138	1593579741138
REQUEST	6		healthy	1593579741140	1593579741154	OK	 
REQUEST	6		who are you	1593579741156	1593579741157	OK	 
REQUEST	6		parrot	1593579741159	1593579741161	OK	 
REQUEST	6		send location	1593579741164	1593579741165	OK	 
REQUEST	6		send postback	1593579741168	1593579741169	OK	 
USER	All Check	6	END	1593579741138	1593579741171
USER	All Check	7	START	1593579741599	1593579741599
REQUEST	7		healthy	1593579741600	1593579741605	OK	 
REQUEST	7		who are you	1593579741607	1593579741609	OK	 
REQUEST	7		parrot	1593579741611	1593579741612	OK	 
REQUEST	7		send location	1593579741614	1593579741616	OK	 
REQUEST	7		send postback	1593579741619	1593579741620	OK	 
USER	All Check	7	END	1593579741599	1593579741621
USER	All Check	8	START	1593579742010	1593579742010
REQUEST	8		healthy	1593579742011	1593579742015	OK	 
REQUEST	8		who are you	1593579742018	1593579742019	OK	 
REQUEST	8		parrot	1593579742021	1593579742022	OK	 
REQUEST	8		send location	1593579742024	1593579742025	OK	 
REQUEST	8		send postback	1593579742028	1593579742030	OK	 
USER	All Check	8	END	1593579742010	1593579742032
USER	All Check	9	START	1593579742380	1593579742380
REQUEST	9		healthy	1593579742382	1593579742385	OK	 
REQUEST	9		who are you	1593579742387	1593579742388	OK	 
REQUEST	9		parrot	1593579742390	1593579742391	OK	 
REQUEST	9		send location	1593579742394	1593579742395	OK	 
REQUEST	9		send postback	1593579742398	1593579742399	OK	 
USER	All Check	9	END	1593579742380	1593579742401
USER	All Check	10	START	1593579742709	1593579742709
REQUEST	10		healthy	1593579742711	1593579742713	OK	 
REQUEST	10		who are you	1593579742715	1593579742716	OK	 
REQUEST	10		parrot	1593579742718	1593579742720	OK	 
REQUEST	10		send location	1593579742722	1593579742724	OK	 
REQUEST	10		send postback	1593579742726	1593579742727	OK	 
USER	All Check	10	END	1593579742709	1593579742728
USER	All Check	11	START	1593579743008	1593579743008
REQUEST	11		healthy	1593579743012	1593579743016	OK	 
REQUEST	11		who are you	1593579743019	1593579743021	OK	 
REQUEST	11		parrot	1593579743023	1593579743024	OK	 
REQUEST	11		send location	1593579743026	1593579743027	OK	 
REQUEST	11		send postback	1593579743031	1593579743032	OK	 
USER	All Check	11	END	1593579743008	1593579743034
USER	All Check	12	START	1593579743290	1593579743290
REQUEST	12		healthy	1593579743291	1593579743294	OK	 
REQUEST	12		who are you	1593579743297	1593579743299	OK	 
REQUEST	12		parrot	1593579743302	1593579743303	OK	 
REQUEST	12		send location	1593579743305	1593579743306	OK	 
REQUEST	12		send postback	1593579743308	1593579743309	OK	 
USER	All Check	12	END	1593579743290	1593579743311
USER	All Check	13	START	1593579743549	1593579743549
REQUEST	13		healthy	1593579743550	1593579743552	OK	 
REQUEST	13		who are you	1593579743554	1593579743555	OK	 
REQUEST	13		parrot	1593579743558	1593579743559	OK	 
REQUEST	13		send location	1593579743562	1593579743564	OK	 
REQUEST	13		send postback	1593579743566	1593579743567	OK	 
