RUN	linebot.LineBotSimulation	linebotsimulation	1593580628513	 	3.3.1
REQUEST	17		send location	1593580638317	1593580638320	OK	 
REQUEST	17		send postback	1593580638323	1593580638326	OK	 
USER	All Check	17	END	1593580638302	1593580638328
USER	All Check	18	START	1593580638491	1593580638491
REQUEST	18		healthy	1593580638492	1593580638496	OK	 
REQUEST	18		who are you	1593580638498	1593580638500	OK	 
REQUEST	18		parrot	1593580638502	1593580638504	OK	 
REQUEST	18		send location	1593580638506	1593580638508	OK	 
REQUEST	18		send postback	1593580638510	1593580638512	OK	 
USER	All Check	18	END	1593580638491	1593580638514
USER	All Check	19	START	1593580638681	1593580638681
REQUEST	19		healthy	1593580638682	1593580638685	OK	 
REQUEST	19		who are you	1593580638687	1593580638690	OK	 
REQUEST	19		parrot	1593580638692	1593580638694	OK	 
REQUEST	19		send location	1593580638696	1593580638699	OK	 
REQUEST	19		send postback	1593580638701	1593580638704	OK	 
USER	All Check	19	END	1593580638681	1593580638706
USER	All Check	20	START	1593580638852	1593580638852
REQUEST	20		healthy	1593580638854	1593580638856	OK	 
REQUEST	20		who are you	1593580638858	1593580638861	OK	 
REQUEST	20		parrot	1593580638864	1593580638867	OK	 
REQUEST	20		send location	1593580638869	1593580638872	OK	 
REQUEST	20		send postback	1593580638874	1593580638877	OK	 
USER	All Check	20	END	1593580638852	1593580638878
USER	All Check	21	START	1593580639023	1593580639023
REQUEST	21		healthy	1593580639023	1593580639026	OK	 
REQUEST	21		who are you	1593580639028	1593580639030	OK	 
REQUEST	21		parrot	1593580639032	1593580639035	OK	 
REQUEST	21		send location	1593580639037	1593580639040	OK	 
REQUEST	21		send postback	1593580639042	1593580639044	OK	 
USER	All Check	21	END	1593580639023	1593580639045
USER	All Check	22	START	1593580639183	1593580639183
REQUEST	22		healthy	1593580639184	1593580639188	OK	 
REQUEST	22		who are you	1593580639189	1593580639191	OK	 
REQUEST	22		parrot	1593580639193	1593580639195	OK	 
REQUEST	22		send location	1593580639197	1593580639199	OK	 
REQUEST	22		send postback	1593580639201	1593580639203	OK	 
USER	All Check	22	END	1593580639183	1593580639204
USER	All Check	23	START	1593580639331	1593580639331
REQUEST	23		healthy	1593580639332	1593580639335	OK	 
REQUEST	23		who are you	1593580639336	1593580639337	OK	 
REQUEST	23		parrot	1593580639339	1593580639340	OK	 
REQUEST	23		send location	1593580639342	1593580639345	OK	 
REQUEST	23		send postback	1593580639346	1593580639349	OK	 
USER	All Check	23	END	1593580639331	1593580639350
USER	All Check	24	START	1593580639483	1593580639483
REQUEST	24		healthy	1593580639484	1593580639487	OK	 
REQUEST	24		who are you	1593580639488	1593580639490	OK	 
REQUEST	24		parrot	1593580639492	1593580639494	OK	 
REQUEST	24		send location	1593580639496	1593580639499	OK	 
REQUEST	24		send postback	1593580639502	1593580639504	OK	 
USER	All Check	24	END	1593580639483	1593580639506
USER	All Check	25	START	1593580639631	1593580639631
REQUEST	25		healthy	1593580639633	1593580639636	OK	 
REQUEST	25		who are you	1593580639638	1593580639640	OK	 
REQUEST	25		parrot	1593580639641	1593580639643	OK	 
REQUEST	25		send location	1593580639644	1593580639646	OK	 
REQUEST	25		send postback	1593580639648	1593580639650	OK	 
USER	All Check	25	END	1593580639631	1593580639651
USER	All Check	26	START	1593580639762	1593580639762
REQUEST	26		healthy	1593580639764	1593580639770	OK	 
REQUEST	26		who are you	1593580639772	1593580639774	OK	 
REQUEST	26		parrot	1593580639776	1593580639778	OK	 
REQUEST	26		send location	1593580639780	1593580639782	OK	 
REQUEST	26		send postback	1593580639784	1593580639786	OK	 
USER	All Check	26	END	1593580639762	1593580639788
USER	All Check	27	START	1593580639902	1593580639902
REQUEST	27		healthy	1593580639903	1593580639906	OK	 
REQUEST	27		who are you	1593580639907	1593580639909	OK	 
REQUEST	27		parrot	1593580639910	1593580639912	OK	 
REQUEST	27		send location	1593580639914	1593580639916	OK	 
REQUEST	27		send postback	1593580639918	1593580639920	OK	 
USER	All Check	27	END	1593580639902	1593580639922
USER	All Check	28	START	1593580640033	1593580640033
REQUEST	28		healthy	1593580640034	1593580640039	OK	 
REQUEST	28		who are you	1593580640041	1593580640043	OK	 
REQUEST	28		parrot	1593580640045	1593580640047	OK	 
REQUEST	28		send location	1593580640049	1593580640052	OK	 
REQUEST	28		send postback	1593580640054	1593580640057	OK	 
USER	All Check	28	END	1593580640033	1593580640058
USER	All Check	29	START	1593580640152	1593580640152
REQUEST	29		healthy	1593580640154	1593580640156	OK	 
REQUEST	29		who are you	1593580640158	1593580640161	OK	 
REQUEST	29		parrot	1593580640162	1593580640165	OK	 
REQUEST	29		send location	1593580640166	1593580640169	OK	 
REQUEST	29		send postback	1593580640171	1593580640174	OK	 
USER	All Check	29	END	1593580640152	1593580640175
USER	All Check	30	START	1593580640281	1593580640281
REQUEST	30		healthy	1593580640282	1593580640284	OK	 
REQUEST	30		who are you	1593580640285	1593580640288	OK	 
REQUEST	30		parrot	1593580640290	1593580640292	OK	 
REQUEST	30		send location	1593580640298	1593580640303	OK	 
REQUEST	30		send postback	1593580640305	1593580640307	OK	 
USER	All Check	30	END	1593580640281	1593580640308
USER	All Check	31	START	1593580640393	1593580640393
REQUEST	31		healthy	1593580640394	1593580640396	OK	 
REQUEST	31		who are you	1593580640398	1593580640400	OK	 
REQUEST	31		parrot	1593580640401	1593580640403	OK	 
REQUEST	31		send location	1593580640405	1593580640407	OK	 
REQUEST	31		send postback	1593580640408	1593580640410	OK	 
USER	All Check	31	END	1593580640393	1593580640411
USER	All Check	32	START	1593580640511	1593580640511
REQUEST	32		healthy	1593580640513	1593580640516	OK	 
REQUEST	32		who are you	1593580640518	1593580640520	OK	 
REQUEST	32		parrot	1593580640522	1593580640525	OK	 
REQUEST	32		send location	1593580640527	1593580640529	OK	 
REQUEST	32		send postback	1593580640532	1593580640534	OK	 
USER	All Check	32	END	1593580640511	1593580640536
USER	All Check	33	START	1593580640622	1593580640622
REQUEST	33		healthy	1593580640623	1593580640626	OK	 
REQUEST	33		who are you	1593580640627	1593580640629	OK	 
REQUEST	33		parrot	1593580640631	1593580640633	OK	 
REQUEST	33		send location	1593580640635	1593580640637	OK	 
REQUEST	33		send postback	1593580640639	1593580640642	OK	 
USER	All Check	33	END	1593580640622	1593580640643
USER	All Check	34	START	1593580640734	1593580640734
REQUEST	34		healthy	1593580640735	1593580640738	OK	 
REQUEST	34		who are you	1593580640740	1593580640742	OK	 
REQUEST	34		parrot	1593580640743	1593580640746	OK	 
REQUEST	34		send location	1593580640747	1593580640749	OK	 
REQUEST	34		send postback	1593580640750	1593580640752	OK	 
USER	All Check	34	END	1593580640734	1593580640753
