RUN	linebot.LineBotSimulation	linebotsimulation	1593594765316	 	3.3.1
REQUEST	17		send location	1593594774000	1593594774002	OK	 
REQUEST	17		send postback	1593594774006	1593594774007	OK	 
USER	All Check	17	END	1593594773980	1593594774010
USER	All Check	18	START	1593594774149	1593594774149
REQUEST	18		healthy	1593594774150	1593594774153	OK	 
REQUEST	18		who are you	1593594774155	1593594774156	OK	 
REQUEST	18		parrot	1593594774159	1593594774160	OK	 
REQUEST	18		send location	1593594774162	1593594774163	OK	 
REQUEST	18		send postback	1593594774166	1593594774167	OK	 
USER	All Check	18	END	1593594774149	1593594774168
USER	All Check	19	START	1593594774297	1593594774297
REQUEST	19		healthy	1593594774299	1593594774302	OK	 
REQUEST	19		who are you	1593594774303	1593594774305	OK	 
REQUEST	19		parrot	1593594774306	1593594774308	OK	 
REQUEST	19		send location	1593594774310	1593594774311	OK	 
REQUEST	19		send postback	1593594774313	1593594774314	OK	 
USER	All Check	19	END	1593594774297	1593594774315
USER	All Check	20	START	1593594774440	1593594774440
REQUEST	20		healthy	1593594774441	1593594774445	OK	 
REQUEST	20		who are you	1593594774447	1593594774448	OK	 
REQUEST	20		parrot	1593594774450	1593594774451	OK	 
REQUEST	20		send location	1593594774453	1593594774455	OK	 
REQUEST	20		send postback	1593594774458	1593594774460	OK	 
USER	All Check	20	END	1593594774440	1593594774461
USER	All Check	21	START	1593594774579	1593594774579
REQUEST	21		healthy	1593594774580	1593594774582	OK	 
REQUEST	21		who are you	1593594774584	1593594774585	OK	 
REQUEST	21		parrot	1593594774587	1593594774589	OK	 
REQUEST	21		send location	1593594774592	1593594774593	OK	 
REQUEST	21		send postback	1593594774596	1593594774598	OK	 
USER	All Check	21	END	1593594774579	1593594774599
USER	All Check	22	START	1593594774718	1593594774718
REQUEST	22		healthy	1593594774720	1593594774723	OK	 
REQUEST	22		who are you	1593594774725	1593594774726	OK	 
REQUEST	22		parrot	1593594774729	1593594774731	OK	 
REQUEST	22		send location	1593594774734	1593594774735	OK	 
REQUEST	22		send postback	1593594774737	1593594774737	OK	 
USER	All Check	22	END	1593594774718	1593594774739
USER	All Check	23	START	1593594774850	1593594774850
REQUEST	23		healthy	1593594774851	1593594774855	OK	 
REQUEST	23		who are you	1593594774857	1593594774860	OK	 
REQUEST	23		parrot	1593594774862	1593594774864	OK	 
REQUEST	23		send location	1593594774866	1593594774868	OK	 
REQUEST	23		send postback	1593594774870	1593594774871	OK	 
USER	All Check	23	END	1593594774850	1593594774873
USER	All Check	24	START	1593594774970	1593594774970
REQUEST	24		healthy	1593594774971	1593594774973	OK	 
REQUEST	24		who are you	1593594774976	1593594774977	OK	 
REQUEST	24		parrot	1593594774980	1593594774981	OK	 
REQUEST	24		send location	1593594774983	1593594774985	OK	 
REQUEST	24		send postback	1593594774987	1593594774988	OK	 
USER	All Check	24	END	1593594774970	1593594774990
USER	All Check	25	START	1593594775088	1593594775088
REQUEST	25		healthy	1593594775089	1593594775094	OK	 
REQUEST	25		who are you	1593594775097	1593594775098	OK	 
REQUEST	25		parrot	1593594775100	1593594775101	OK	 
REQUEST	25		send location	1593594775102	1593594775103	OK	 
REQUEST	25		send postback	1593594775105	1593594775106	OK	 
USER	All Check	25	END	1593594775088	1593594775107
USER	All Check	26	START	1593594775208	1593594775208
REQUEST	26		healthy	1593594775210	1593594775212	OK	 
REQUEST	26		who are you	1593594775213	1593594775215	OK	 
REQUEST	26		parrot	1593594775217	1593594775218	OK	 
REQUEST	26		send location	1593594775220	1593594775221	OK	 
REQUEST	26		send postback	1593594775223	1593594775224	OK	 
USER	All Check	26	END	1593594775208	1593594775225
USER	All Check	27	START	1593594775319	1593594775319
REQUEST	27		healthy	1593594775320	1593594775323	OK	 
REQUEST	27		who are you	1593594775324	1593594775326	OK	 
REQUEST	27		parrot	1593594775328	1593594775329	OK	 
REQUEST	27		send location	1593594775331	1593594775332	OK	 
REQUEST	27		send postback	1593594775333	1593594775335	OK	 
USER	All Check	27	END	1593594775319	1593594775336
USER	All Check	28	START	1593594775418	1593594775418
REQUEST	28		healthy	1593594775419	1593594775422	OK	 
REQUEST	28		who are you	1593594775423	1593594775425	OK	 
REQUEST	28		parrot	1593594775427	1593594775428	OK	 
REQUEST	28		send location	1593594775430	1593594775432	OK	 
REQUEST	28		send postback	1593594775434	1593594775435	OK	 
USER	All Check	28	END	1593594775418	1593594775436
USER	All Check	29	START	1593594775530	1593594775530
REQUEST	29		healthy	1593594775531	1593594775533	OK	 
REQUEST	29		who are you	1593594775535	1593594775536	OK	 
REQUEST	29		parrot	1593594775537	1593594775539	OK	 
REQUEST	29		send location	1593594775540	1593594775542	OK	 
REQUEST	29		send postback	1593594775544	1593594775545	OK	 
USER	All Check	29	END	1593594775530	1593594775546
USER	All Check	30	START	1593594775629	1593594775629
REQUEST	30		healthy	1593594775630	1593594775633	OK	 
REQUEST	30		who are you	1593594775634	1593594775636	OK	 
REQUEST	30		parrot	1593594775638	1593594775641	OK	 
REQUEST	30		send location	1593594775644	1593594775645	OK	 
REQUEST	30		send postback	1593594775648	1593594775649	OK	 
USER	All Check	30	END	1593594775629	1593594775650
USER	All Check	31	START	1593594775730	1593594775730
REQUEST	31		healthy	1593594775731	1593594775733	OK	 
REQUEST	31		who are you	1593594775735	1593594775736	OK	 
REQUEST	31		parrot	1593594775738	1593594775739	OK	 
REQUEST	31		send location	1593594775741	1593594775742	OK	 
REQUEST	31		send postback	1593594775745	1593594775746	OK	 
USER	All Check	31	END	1593594775730	1593594775747
USER	All Check	32	START	1593594775819	1593594775819
REQUEST	32		healthy	1593594775819	1593594775822	OK	 
REQUEST	32		who are you	1593594775823	1593594775824	OK	 
REQUEST	32		parrot	1593594775826	1593594775827	OK	 
REQUEST	32		send location	1593594775829	1593594775830	OK	 
REQUEST	32		send postback	1593594775833	1593594775834	OK	 
USER	All Check	32	END	1593594775819	1593594775836
USER	All Check	33	START	1593594775918	1593594775918
REQUEST	33		healthy	1593594775919	1593594775921	OK	 
REQUEST	33		who are you	1593594775922	1593594775923	OK	 
REQUEST	33		parrot	1593594775926	1593594775927	OK	 
REQUEST	33		send location	1593594775943	1593594775944	OK	 
REQUEST	33		send postback	1593594775946	1593594775947	OK	 
USER	All Check	33	END	1593594775918	1593594775949
USER	All Check	34	START	1593594776019	1593594776019
REQUEST	34		healthy	1593594776020	1593594776023	OK	 
REQUEST	34		who are you	1593594776024	1593594776025	OK	 
REQUEST	34		parrot	1593594776027	1593594776028	OK	 
REQUEST	34		send location	1593594776029	1593594776031	OK	 
REQUEST	34		send postback	1593594776032	1593594776033	OK	 
USER	All Check	34	END	1593594776019	1593594776034
USER	All Check	35	START	1593594776109	1593594776109
REQUEST	35		healthy	1593594776111	1593594776113	OK	 
REQUEST	35		who are you	1593594776114	1593594776115	OK	 
REQUEST	35		parrot	1593594776117	1593594776118	OK	 
REQUEST	35		send location	1593594776120	1593594776121	OK	 
REQUEST	35		send postback	1593594776122	1593594776123	OK	 
USER	All Check	35	END	1593594776109	1593594776124
USER	All Check	36	START	1593594776189	1593594776189
REQUEST	36		healthy	1593594776192	1593594776197	OK	 
REQUEST	36		who are you	1593594776198	1593594776199	OK	 
REQUEST	36		parrot	1593594776201	1593594776202	OK	 
REQUEST	36		send location	1593594776203	1593594776204	OK	 
REQUEST	36		send postback	1593594776206	1593594776207	OK	 
USER	All Check	36	END	1593594776189	1593594776208
USER	All Check	37	START	1593594776280	1593594776280
REQUEST	37		healthy	1593594776281	1593594776283	OK	 
REQUEST	37		who are you	1593594776284	1593594776285	OK	 
REQUEST	37		parrot	1593594776286	1593594776287	OK	 
REQUEST	37		send location	1593594776289	1593594776290	OK	 
